sector,week_end_date,weekly_avg_close,revenue_ttm,eps_ttm,fcf_ttm,net_income_ttm,rev_qoq,rev_yoy,eps_qoq,eps_yoy,market_cap,pe_ttm,ps_ttm,fcf_yield_ttm,ret_1w,ret_4w,ret_12w,sma_4w,sma_12w,sma_24w,price_vs_sma_4w,price_vs_sma_12w,price_vs_sma_24w,Gross Margin %,Operating Income %,Net Profit %
Healthcare,2024-09-20,138,4810000000.0,3.2,2005000000.0,938000000.0,0.0064,,-0.0762,,40215973544.3115,43.1873,8.3609,0.0499,0.0133,-0.0052,0.0538,137.9189,134.7328,136.2598,0.002,0.0257,0.0142,0.5494,0.211,0.1787
Healthcare,2024-09-27,142,4810000000.0,3.2,2005000000.0,938000000.0,0.0064,,-0.0762,,41264443844.6045,44.3132,8.5789,0.0486,0.0261,0.011,0.1331,138.3052,136.1209,136.2226,0.0253,0.0417,0.041,0.5494,0.211,0.1787
Healthcare,2024-10-04,145,4810000000.0,3.2,2005000000.0,938000000.0,0.0064,,-0.0762,,42194032012.9394,45.3115,8.7721,0.0475,0.0225,0.0596,0.1409,140.3443,137.6134,136.6892,0.0332,0.0537,0.0608,0.5494,0.211,0.1787
Healthcare,2024-10-11,143,4810000000.0,3.2,2005000000.0,938000000.0,0.0064,,-0.0762,,41558752761.8408,44.6292,8.6401,0.0482,-0.0151,0.0472,0.0853,141.9529,138.549,136.9992,0.0061,0.0308,0.0424,0.5494,0.211,0.1787
Healthcare,2024-10-18,140,4810000000.0,3.2,2005000000.0,938000000.0,0.0064,,-0.0762,,40654096032.7148,43.6577,8.452,0.0493,-0.0218,0.0109,0.0519,142.3293,139.1231,137.1173,-0.0184,0.0042,0.0189,0.5494,0.211,0.1787
Healthcare,2024-10-25,132,4810000000.0,3.2,2005000000.0,938000000.0,0.0064,,-0.0762,,38341363586.4258,41.1741,7.9712,0.0523,-0.0569,-0.0708,-0.05,139.8181,138.5457,136.6794,-0.0577,-0.049,-0.036,0.5494,0.211,0.1787
Healthcare,2024-11-01,131,6510000000.0,4.43,3375000000.0,1289000000.0,0.0759,,0.268,,37398724044.7998,29.6216,5.7448,0.0902,-0.0041,-0.095,-0.0237,136.3748,138.2802,135.8726,-0.0378,-0.051,-0.0342,0.5391,0.2399,0.2063
Healthcare,2024-11-08,138,6510000000.0,4.43,3375000000.0,1289000000.0,0.0759,,0.268,,39248190353.3936,31.0864,6.0289,0.086,0.0495,-0.0357,0.0091,135.0997,138.3838,135.3302,0.0193,-0.0048,0.0176,0.5391,0.2399,0.2063
Healthcare,2024-11-15,131,6510000000.0,4.43,3375000000.0,1289000000.0,0.0759,,0.268,,37266414482.1167,29.5168,5.7245,0.0906,-0.0505,-0.064,-0.0587,132.8633,137.7038,135.0581,-0.0158,-0.0504,-0.0318,0.5391,0.2399,0.2063
Healthcare,2024-11-22,128,6510000000.0,4.43,3375000000.0,1289000000.0,0.0759,,0.268,,36586791069.0308,28.9785,5.6201,0.0922,-0.0182,-0.0257,-0.0847,132.0176,136.7136,134.9568,-0.0276,-0.061,-0.0488,0.5391,0.2399,0.2063
